Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-04-01 00:00:00.000 +0200,Partly Cloudy,snow,11.805555555555555,11.805555555555555,0.71,13.894300000000003,170.0,16.1,0.0,1014.14,Mostly cloudy throughout the day.
2016-04-01 01:00:00.000 +0200,Partly Cloudy,snow,11.805555555555555,11.805555555555555,0.71,10.996300000000002,172.0,16.1,0.0,1013.95,Mostly cloudy throughout the day.
2016-04-01 02:00:00.000 +0200,Partly Cloudy,snow,11.444444444444445,11.444444444444445,0.74,12.9444,192.0,15.1823,0.0,1013.31,Mostly cloudy throughout the day.
2016-04-01 03:00:00.000 +0200,Mostly Cloudy,snow,10.716666666666665,10.716666666666665,0.77,11.0446,171.0,16.1,0.0,1013.03,Mostly cloudy throughout the day.
2016-04-01 04:00:00.000 +0200,Mostly Cloudy,snow,10.233333333333334,10.233333333333334,0.79,13.9265,162.0,16.1,0.0,1012.64,Mostly cloudy throughout the day.
2016-04-01 05:00:00.000 +0200,Mostly Cloudy,snow,10.999999999999998,10.999999999999998,0.79,12.2521,179.0,15.1823,0.0,1012.35,Mostly cloudy throughout the day.
2016-04-01 06:00:00.000 +0200,Overcast,snow,11.416666666666664,11.416666666666664,0.76,11.0607,175.0,16.1,0.0,1012.19,Mostly cloudy throughout the day.
2016-04-01 07:00:00.000 +0200,Overcast,snow,12.366666666666665,12.366666666666665,0.73,15.1984,182.0,16.1,0.0,1012.13,Mostly cloudy throughout the day.
2016-04-01 08:00:00.000 +0200,Overcast,snow,13.06111111111111,13.06111111111111,0.76,16.0517,189.0,15.1823,0.0,1012.07,Mostly cloudy throughout the day.
2016-04-01 09:00:00.000 +0200,Overcast,snow,14.07777777777778,14.07777777777778,0.75,15.810200000000002,194.0,16.1,0.0,1011.76,Mostly cloudy throughout the day.
2016-04-01 10:00:00.000 +0200,Overcast,snow,16.211111111111112,16.211111111111112,0.66,14.5544,204.0,16.1,0.0,1012.03,Mostly cloudy throughout the day.
2016-04-01 11:00:00.000 +0200,Overcast,snow,17.849999999999998,17.849999999999998,0.63,14.1036,219.0,15.552600000000002,0.0,1012.03,Mostly cloudy throughout the day.
2016-04-01 12:00:00.000 +0200,Overcast,snow,19.838888888888885,19.838888888888885,0.49,19.9801,218.0,15.552600000000002,0.0,1012.04,Mostly cloudy throughout the day.
2016-04-01 13:00:00.000 +0200,Overcast,snow,23.7,23.7,0.33,28.7546,250.0,16.1,0.0,1011.48,Mostly cloudy throughout the day.
2016-04-01 14:00:00.000 +0200,Overcast,snow,22.57222222222222,22.57222222222222,0.4,29.833300000000005,263.0,15.552600000000002,0.0,1011.57,Mostly cloudy throughout the day.
